smiles,CYP1A2_IC50_PIC50,source,CYP1A2_Ki_PIC50,CYP2C9_IC50_PIC50,CYP2C9_Ki_PIC50,CYP2C19_IC50_PIC50,CYP2C19_Ki_PIC50,CYP2D6_IC50_PIC50,CYP2D6_Ki_PIC50,CYP3A4_IC50_PIC50,CYP3A4_Ki_PIC50,CYP2B6_IC50_PIC50,CYP2B6_Ki_PIC50
C1=NC=NC1CCCC(Cc1ccccc1)c1ccccc1,5.33,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CCCC(c1ccccc1)c1ccccc1,5.7,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CCCCC(c1ccccc1)c1ccccc1,5.77,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CCCCCC(c1ccccc1)c1ccccc1,4.84,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CCCCCc1ccccc1,4.3,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CCCCc1ccccc1,4.92,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CCCc1ccccc1,4.46,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1CCc1ccccc1,3.5230000027495114,chembl_CYP1A2_IC50,,,,,,,,,,,
C1=NC=NC1Cc1ccccc1,3.3979999997405788,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,7.77,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C(c1ccc(C#N)cc1)n1ccnc1,9.15,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C(c1ccncc1)c1cc2c3c(c1)CCN3C(=O)CC2,6.25,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC(=O)C3=C(C)CC[C@@H]12,7.82,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC[C@H]3CCC[C@@H]12,8.15,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1C[C@H]3O[C@@]3(C)[C@@H]12,7.26,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,7.3,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@]2(C)C1=CC(=O)[C@@H]1O[C@@H]12,6.01,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C1C[C@@]2(C)C(=CC1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,6.26,chembl_CYP1A2_IC50,,,,,,,,,,,
C=C1C[C@H]2[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]2[C@@]2(C)C=CC(=O)C=C12,6.8,chembl_CYP1A2_IC50,,,,,,,,,,,
C=CCN(c1ccc(C(=O)NCCCn2ccnc2)cc1)S(C)(=O)=O,5.6,chembl_CYP1A2_IC50,,,,,,,,,,,
C=CCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,6.16,chembl_CYP1A2_IC50,,,,,,,,,,,
C=CCOC(=O)N1Cc2[nH]c3ccccc3c2C[C@H]1C(=O)OC,4.35,chembl_CYP1A2_IC50,,,,,,,,,,,
C=CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,6.57,chembl_CYP1A2_IC50,,,,,,,,,,,
C=CC[C@@H]1CC2=C(O)C(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@H]12,6.96,chembl_CYP1A2_IC50,,,,,,,,,,,
